point_id,area,x,y,infra_1,infra_2,infra_3,infra_4
R05C08,cell_5_8,3.000,4.800,-46.00,-32.00,-38.67,-29.67
R05C09,cell_5_9,3.000,5.400,-48.33,-35.33,-42.67,-26.00
R05C10,cell_5_10,3.000,6.000,-49.33,-39.33,-37.33,-25.33
R05C11,cell_5_11,3.000,6.600,-49.00,-42.00,-40.00,-26.33
R05C12,cell_5_12,3.000,7.200,-47.33,-36.00,-45.00,-23.67
R06C00,cell_6_0,3.600,0.000,-42.67,-23.33,-31.00,-29.33
R06C01,cell_6_1,3.600,0.600,-44.00,-27.67,-32.00,-33.33
R06C02,cell_6_2,3.600,1.200,-48.67,-31.00,-35.67,-36.33
R06C03,cell_6_3,3.600,1.800,-39.67,-31.67,-27.00,-32.00
R06C04,cell_6_4,3.600,2.400,-44.33,-25.00,-33.00,-23.67
R06C05,cell_6_5,3.600,3.000,-45.67,-25.33,-35.33,-23.00
R06C06,cell_6_6,3.600,3.600,-40.67,-26.00,-40.00,-25.33
R06C07,cell_6_7,3.600,4.200,-48.67,-30.33,-41.00,-27.33
R06C08,cell_6_8,3.600,4.800,-45.67,-34.00,-33.00,-23.33
R06C09,cell_6_9,3.600,5.400,-41.67,-35.67,-38.00,-24.00
R06C10,cell_6_10,3.600,6.000,-46.00,-29.00,-37.67,-28.67
R06C11,cell_6_11,3.600,6.600,-52.33,-29.67,-40.33,-27.33
R06C12,cell_6_12,3.600,7.200,-48.67,-34.33,-40.33,-30.00
R07C00,cell_7_0,4.200,0.000,-44.33,-25.00,-31.00,-32.00
R07C01,cell_7_1,4.200,0.600,-41.00,-26.00,-32.67,-33.33
R07C02,cell_7_2,4.200,1.200,-44.33,-28.67,-35.67,-38.67
R07C03,cell_7_3,4.200,1.800,-41.00,-29.67,-34.67,-23.00
R07C04,cell_7_4,4.200,2.400,-44.33,-29.67,-39.00,-28.00
R07C05,cell_7_5,4.200,3.000,-42.33,-23.67,-37.00,-23.67
R07C06,cell_7_6,4.200,3.600,-47.33,-24.67,-39.00,-26.67
R07C07,cell_7_7,4.200,4.200,-45.33,-30.33,-43.00,-31.00
R07C08,cell_7_8,4.200,4.800,-44.00,-28.67,-40.33,-29.67
R07C09,cell_7_9,4.200,5.400,-46.33,-29.33,-40.00,-27.00
R07C10,cell_7_10,4.200,6.000,-43.33,-32.00,-42.33,-26.33
R07C11,cell_7_11,4.200,6.600,-48.00,-29.67,-46.00,-29.00
R07C12,cell_7_12,4.200,7.200,-46.33,-37.00,-45.33,-27.00
R08C00,cell_8_0,4.800,0.000,-38.33,-27.33,-32.67,-35.67
R08C01,cell_8_1,4.800,0.600,-41.67,-28.33,-35.67,-33.33
R08C02,cell_8_2,4.800,1.200,-45.33,-23.33,-32.67,-35.67
R08C03,cell_8_3,4.800,1.800,-42.33,-23.33,-41.67,-35.33
R08C04,cell_8_4,4.800,2.400,-44.00,-27.33,-39.00,-34.33
R08C05,cell_8_5,4.800,3.000,-43.00,-27.33,-36.67,-33.67
R08C06,cell_8_6,4.800,3.600,-49.33,-26.00,-39.67,-31.33
R08C07,cell_8_7,4.800,4.200,-44.67,-34.33,-41.33,-37.00
R08C08,cell_8_8,4.800,4.800,-43.67,-35.33,-38.33,-31.67
R08C09,cell_8_9,4.800,5.400,-46.67,-31.33,-43.67,-31.67
R08C10,cell_8_10,4.800,6.000,-42.00,-31.33,-43.00,-31.00
R08C11,cell_8_11,4.800,6.600,-43.33,-32.33,-44.33,-32.00
R08C12,cell_8_12,4.800,7.200,-46.00,-33.00,-46.00,-32.33
R09C00,cell_9_0,5.400,0.000,-42.67,-27.00,-37.67,-34.33
R09C01,cell_9_1,5.400,0.600,-42.33,-27.00,-38.67,-36.33
R09C02,cell_9_2,5.400,1.200,-45.67,-30.00,-36.00,-34.00
R09C03,cell_9_3,5.400,1.800,-45.33,-23.00,-39.67,-32.33
R09C04,cell_9_4,5.400,2.400,-43.67,-28.67,-40.33,-36.00
R09C05,cell_9_5,5.400,3.000,-43.67,-35.00,-44.33,-27.67
R09C06,cell_9_6,5.400,3.600,-41.67,-34.33,-48.00,-30.67
R09C07,cell_9_7,5.400,4.200,-48.00,-30.33,-42.33,-35.00
R09C08,cell_9_8,5.400,4.800,-47.00,-32.67,-45.00,-35.67
R09C09,cell_9_9,5.400,5.400,-43.33,-35.67,-42.00,-29.00
R09C10,cell_9_10,5.400,6.000,-48.67,-37.00,-41.00,-32.00
R09C11,cell_9_11,5.400,6.600,-45.67,-35.67,-46.00,-33.00
R09C12,cell_9_12,5.400,7.200,-45.67,-32.33,-43.00,-31.67
R10C00,cell_10_0,6.000,0.000,-42.67,-27.00,-38.00,-35.33
R10C01,cell_10_1,6.000,0.600,-45.33,-30.33,-38.33,-34.67
R10C02,cell_10_2,6.000,1.200,-45.00,-27.33,-36.00,-36.33
R10C03,cell_10_3,6.000,1.800,-39.67,-26.00,-38.33,-27.33
R10C04,cell_10_4,6.000,2.400,-40.00,-29.33,-39.33,-27.33
R10C05,cell_10_5,6.000,3.000,-43.00,-25.67,-46.33,-29.00
R10C06,cell_10_6,6.000,3.600,-39.67,-35.67,-45.33,-34.33
R10C07,cell_10_7,6.000,4.200,-45.33,-31.33,-44.00,-29.00
R10C08,cell_10_8,6.000,4.800,-44.33,-28.67,-41.00,-33.33
R10C09,cell_10_9,6.000,5.400,-44.67,-29.00,-44.67,-32.33
R10C10,cell_10_10,6.000,6.000,-41.33,-31.00,-39.00,-31.33
R10C11,cell_10_11,6.000,6.600,-45.00,-34.00,-47.00,-34.33
R10C12,cell_10_12,6.000,7.200,-44.33,-36.67,-44.67,-30.67
R11C00,cell_11_0,6.600,0.000,-42.33,-31.67,-39.33,-35.33
R11C01,cell_11_1,6.600,0.600,-42.00,-26.33,-40.00,-34.00
R11C02,cell_11_2,6.600,1.200,-45.67,-28.00,-39.67,-35.67
R11C03,cell_11_3,6.600,1.800,-46.33,-29.67,-32.33,-33.00
R11C04,cell_11_4,6.600,2.400,-43.33,-23.00,-37.33,-29.67
R11C05,cell_11_5,6.600,3.000,-39.67,-24.67,-42.33,-30.00
R11C06,cell_11_6,6.600,3.600,-42.00,-27.00,-43.33,-34.67
R11C07,cell_11_7,6.600,4.200,-43.00,-29.33,-43.67,-29.33
R11C08,cell_11_8,6.600,4.800,-40.33,-24.00,-41.67,-31.67
R11C09,cell_11_9,6.600,5.400,-40.33,-26.33,-43.00,-32.67
R11C10,cell_11_10,6.600,6.000,-42.33,-32.00,-42.33,-31.67
R11C11,cell_11_11,6.600,6.600,-45.33,-34.00,-48.00,-31.67
R11C12,cell_11_12,6.600,7.200,-44.33,-33.33,-46.00,-34.33
R12C00,cell_12_0,7.200,0.000,-37.67,-33.67,-46.00,-34.67
R12C01,cell_12_1,7.200,0.600,-41.67,-25.00,-38.00,-33.67
R12C02,cell_12_2,7.200,1.200,-40.00,-26.67,-42.67,-35.33
R12C03,cell_12_3,7.200,1.800,-36.67,-29.67,-41.00,-31.00
R12C04,cell_12_4,7.200,2.400,-35.67,-23.33,-42.00,-29.67
R12C05,cell_12_5,7.200,3.000,-36.00,-27.00,-43.00,-31.00
R12C06,cell_12_6,7.200,3.600,-38.00,-33.33,-47.67,-34.00
R12C07,cell_12_7,7.200,4.200,-42.33,-32.67,-44.67,-35.00
R12C08,cell_12_8,7.200,4.800,-37.33,-29.33,-43.67,-33.00
R12C09,cell_12_9,7.200,5.400,-42.00,-29.00,-42.33,-31.67
R12C10,cell_12_10,7.200,6.000,-41.00,-36.67,-45.67,-34.00
R12C11,cell_12_11,7.200,6.600,-42.00,-32.33,-47.33,-35.00
R12C12,cell_12_12,7.200,7.200,-47.33,-32.67,-44.67,-33.00
R13C00,cell_13_0,7.800,0.000,-43.67,-30.33,-41.33,-35.67
R13C01,cell_13_1,7.800,0.600,-40.67,-29.00,-39.00,-35.67
R13C02,cell_13_2,7.800,1.200,-40.33,-28.00,-45.00,-35.00
R13C03,cell_13_3,7.800,1.800,-41.00,-24.00,-42.67,-37.33
R13C04,cell_13_4,7.800,2.400,-42.33,-26.67,-41.67,-32.33
R13C05,cell_13_5,7.800,3.000,-36.67,-25.00,-46.67,-34.00
R13C06,cell_13_6,7.800,3.600,-37.00,-30.67,-48.33,-34.33
R13C07,cell_13_7,7.800,4.200,-41.00,-35.00,-48.67,-37.00
R13C08,cell_13_8,7.800,4.800,-43.00,-26.00,-47.00,-36.67
R13C09,cell_13_9,7.800,5.400,-34.33,-33.00,-48.67,-39.00
R13C10,cell_13_10,7.800,6.000,-37.33,-37.67,-50.33,-31.00
R13C11,cell_13_11,7.800,6.600,-39.00,-29.33,-50.00,-35.00
R13C12,cell_13_12,7.800,7.200,-39.67,-31.67,-41.67,-33.00
R14C00,cell_14_0,8.400,0.000,-40.00,-31.67,-47.33,-38.00
R14C01,cell_14_1,8.400,0.600,-45.00,-29.33,-40.33,-39.00
R14C02,cell_14_2,8.400,1.200,-38.67,-27.33,-45.67,-33.33
R14C03,cell_14_3,8.400,1.800,-33.00,-22.00,-34.67,-28.33
R14C04,cell_14_4,8.400,2.400,-39.67,-24.67,-43.67,-36.00
R14C05,cell_14_5,8.400,3.000,-42.00,-29.67,-47.67,-33.00
R14C06,cell_14_6,8.400,3.600,-39.33,-31.33,-46.67,-38.00
R14C07,cell_14_7,8.400,4.200,-37.33,-32.33,-45.33,-34.00
R14C08,cell_14_8,8.400,4.800,-36.33,-29.33,-47.67,-29.67
R14C09,cell_14_9,8.400,5.400,-40.00,-31.00,-44.67,-32.00
R14C10,cell_14_10,8.400,6.000,-38.33,-29.33,-45.00,-30.67
R14C11,cell_14_11,8.400,6.600,-37.33,-32.67,-46.33,-33.67
R14C12,cell_14_12,8.400,7.200,-44.33,-31.00,-44.33,-31.00
R15C00,cell_15_0,9.000,0.000,-34.67,-33.67,-44.67,-38.00
R15C01,cell_15_1,9.000,0.600,-38.33,-26.33,-38.00,-34.33
R15C02,cell_15_2,9.000,1.200,-38.67,-25.67,-47.33,-37.67
R15C03,cell_15_3,9.000,1.800,-40.67,-27.33,-43.67,-29.67
R15C04,cell_15_4,9.000,2.400,-36.00,-23.33,-36.33,-30.00
R15C05,cell_15_5,9.000,3.000,-35.00,-20.67,-43.67,-33.67
R15C06,cell_15_6,9.000,3.600,-36.33,-26.33,-44.00,-32.33
R15C07,cell_15_7,9.000,4.200,-36.00,-26.67,-49.67,-29.00
R15C08,cell_15_8,9.000,4.800,-36.00,-23.33,-42.00,-33.33
R15C09,cell_15_9,9.000,5.400,-39.67,-25.67,-49.00,-34.00
R15C10,cell_15_10,9.000,6.000,-33.00,-28.33,-43.00,-31.67
R15C11,cell_15_11,9.000,6.600,-37.67,-26.67,-45.67,-34.67
R15C12,cell_15_12,9.000,7.200,-39.67,-32.00,-50.67,-33.67
R16C00,cell_16_0,9.600,0.000,-39.00,-27.00,-49.33,-32.67
R16C01,cell_16_1,9.600,0.600,-40.00,-29.00,-43.67,-41.67
R16C02,cell_16_2,9.600,1.200,-41.67,-26.33,-45.00,-39.00
R16C03,cell_16_3,9.600,1.800,-37.00,-28.33,-44.00,-34.33
R16C04,cell_16_4,9.600,2.400,-27.67,-25.00,-42.00,-31.33
R16C05,cell_16_5,9.600,3.000,-30.00,-25.00,-46.00,-29.00
R16C06,cell_16_6,9.600,3.600,-26.00,-31.00,-50.33,-32.67
R16C07,cell_16_7,9.600,4.200,-36.33,-30.67,-44.33,-29.00
R16C08,cell_16_8,9.600,4.800,-26.00,-26.33,-47.00,-34.33
R16C09,cell_16_9,9.600,5.400,-31.67,-24.33,-44.00,-34.33
R16C10,cell_16_10,9.600,6.000,-36.00,-33.67,-50.67,-32.67
R16C11,cell_16_11,9.600,6.600,-38.00,-30.00,-49.33,-30.00
R16C12,cell_16_12,9.600,7.200,-41.67,-27.67,-40.67,-36.00
R17C00,cell_17_0,10.200,0.000,-40.67,-29.00,-49.00,-32.33
R17C01,cell_17_1,10.200,0.600,-40.00,-26.33,-42.00,-39.67
R17C02,cell_17_2,10.200,1.200,-39.67,-23.00,-45.00,-39.33
R17C03,cell_17_3,10.200,1.800,-35.00,-25.67,-49.00,-35.67
R17C04,cell_17_4,10.200,2.400,-37.00,-25.67,-48.67,-36.33
R17C05,cell_17_5,10.200,3.000,-37.67,-28.33,-50.00,-38.67
R17C06,cell_17_6,10.200,3.600,-36.67,-23.00,-49.33,-40.67
R17C07,cell_17_7,10.200,4.200,-34.33,-27.67,-50.67,-38.00
R17C08,cell_17_8,10.200,4.800,-32.33,-27.00,-48.33,-37.33
R17C09,cell_17_9,10.200,5.400,-32.33,-32.67,-50.67,-35.00
R17C10,cell_17_10,10.200,6.000,-30.67,-29.67,-50.00,-37.33
R17C11,cell_17_11,10.200,6.600,-36.67,-29.67,-49.00,-26.33
R17C12,cell_17_12,10.200,7.200,-37.67,-30.67,-47.00,-36.00
R18C00,cell_18_0,10.800,0.000,-42.33,-24.67,-46.33,-34.67
R18C01,cell_18_1,10.800,0.600,-43.33,-25.33,-43.33,-38.33
R18C02,cell_18_2,10.800,1.200,-40.67,-26.67,-47.00,-36.33
R18C03,cell_18_3,10.800,1.800,-38.33,-24.67,-46.67,-35.00
R18C04,cell_18_4,10.800,2.400,-36.33,-25.67,-48.33,-36.33
R18C05,cell_18_5,10.800,3.000,-34.00,-30.67,-46.00,-36.00
R18C06,cell_18_6,10.800,3.600,-40.00,-30.67,-50.00,-36.00
R18C07,cell_18_7,10.800,4.200,-31.67,-31.33,-46.00,-32.00
R18C08,cell_18_8,10.800,4.800,-34.33,-27.33,-48.00,-37.33
R18C09,cell_18_9,10.800,5.400,-33.67,-36.67,-50.00,-37.33
R18C10,cell_18_10,10.800,6.000,-31.00,-28.33,-46.33,-34.67
R18C11,cell_18_11,10.800,6.600,-34.00,-29.67,-48.00,-32.00
R18C12,cell_18_12,10.800,7.200,-38.00,-33.33,-46.33,-37.67
R19C00,cell_19_0,11.400,0.000,-42.67,-27.00,-51.00,-34.67
R19C01,cell_19_1,11.400,0.600,-42.67,-22.67,-45.33,-34.33
R19C02,cell_19_2,11.400,1.200,-33.67,-24.33,-45.33,-34.67
R19C03,cell_19_3,11.400,1.800,-38.00,-22.00,-48.67,-37.00
R19C04,cell_19_4,11.400,2.400,-35.00,-25.33,-46.33,-35.33
R19C05,cell_19_5,11.400,3.000,-34.33,-27.67,-48.00,-34.00
R19C06,cell_19_6,11.400,3.600,-30.33,-28.67,-49.33,-37.00
R19C07,cell_19_7,11.400,4.200,-31.33,-30.67,-47.00,-40.67
R19C08,cell_19_8,11.400,4.800,-29.33,-26.33,-46.67,-41.00
R19C09,cell_19_9,11.400,5.400,-31.00,-34.00,-49.67,-37.67
R19C10,cell_19_10,11.400,6.000,-27.67,-29.00,-48.67,-39.00
R19C11,cell_19_11,11.400,6.600,-27.67,-29.67,-47.00,-27.00
R19C12,cell_19_12,11.400,7.200,-39.00,-29.00,-44.67,-35.33
R20C00,cell_20_0,12.000,0.000,-37.33,-29.00,-46.67,-37.67
R20C01,cell_20_1,12.000,0.600,-41.00,-27.00,-53.67,-39.00
R20C02,cell_20_2,12.000,1.200,-33.33,-27.00,-48.33,-39.67
R20C03,cell_20_3,12.000,1.800,-40.33,-29.33,-44.33,-33.67
R20C04,cell_20_4,12.000,2.400,-35.00,-20.33,-44.67,-33.00
R20C05,cell_20_5,12.000,3.000,-36.33,-24.33,-43.33,-34.67
R20C06,cell_20_6,12.000,3.600,-34.67,-24.33,-48.33,-35.67
R20C07,cell_20_7,12.000,4.200,-34.33,-25.00,-51.33,-40.67
R20C08,cell_20_8,12.000,4.800,-31.67,-29.67,-51.67,-40.67
R20C09,cell_20_9,12.000,5.400,-28.00,-31.00,-46.33,-39.00
R20C10,cell_20_10,12.000,6.000,-25.00,-25.67,-51.67,-34.33
R20C11,cell_20_11,12.000,6.600,-26.67,-29.33,-46.67,-26.00
R20C12,cell_20_12,12.000,7.200,-19.67,-28.00,-51.00,-37.33
R21C00,cell_21_0,12.600,0.000,-37.00,-22.00,-43.00,-34.00
R21C01,cell_21_1,12.600,0.600,-40.67,-27.33,-49.33,-36.33
R21C02,cell_21_2,12.600,1.200,-36.00,-25.33,-47.00,-38.67
R21C03,cell_21_3,12.600,1.800,-37.67,-29.00,-45.67,-42.67
R21C04,cell_21_4,12.600,2.400,-37.67,-26.33,-48.00,-32.67
R21C05,cell_21_5,12.600,3.000,-36.00,-23.00,-50.33,-34.33
R21C06,cell_21_6,12.600,3.600,-35.67,-27.00,-51.67,-35.00
R21C07,cell_21_7,12.600,4.200,-30.33,-27.33,-50.00,-38.00
R21C08,cell_21_8,12.600,4.800,-30.00,-25.33,-47.33,-36.00
R21C09,cell_21_9,12.600,5.400,-28.67,-27.33,-50.67,-34.00
R21C10,cell_21_10,12.600,6.000,-22.33,-28.00,-49.67,-33.00
R21C11,cell_21_11,12.600,6.600,-26.33,-29.00,-47.33,-28.00
R21C12,cell_21_12,12.600,7.200,-19.67,-29.00,-47.00,-39.00
R22C00,cell_22_0,13.200,0.000,-34.00,-18.67,-49.33,-33.33
R22C01,cell_22_1,13.200,0.600,-36.67,-25.33,-43.67,-38.67
R22C02,cell_22_2,13.200,1.200,-35.67,-29.33,-44.00,-40.67
R22C03,cell_22_3,13.200,1.800,-37.67,-24.33,-46.33,-38.33
R22C04,cell_22_4,13.200,2.400,-36.33,-28.00,-48.33,-35.67
R22C05,cell_22_5,13.200,3.000,-36.67,-26.00,-47.33,-31.00
R22C06,cell_22_6,13.200,3.600,-37.00,-23.00,-47.00,-35.33
R22C07,cell_22_7,13.200,4.200,-33.33,-27.33,-49.33,-33.00
R22C08,cell_22_8,13.200,4.800,-33.00,-26.67,-47.00,-40.67
R22C09,cell_22_9,13.200,5.400,-32.00,-28.33,-46.33,-34.00
R22C10,cell_22_10,13.200,6.000,-31.67,-25.67,-48.33,-33.67
R22C11,cell_22_11,13.200,6.600,-17.00,-22.00,-45.33,-28.00
R22C12,cell_22_12,13.200,7.200,-11.33,-24.33,-49.67,-37.00
R23C00,cell_23_0,13.800,0.000,-36.00,-24.00,-47.33,-35.33
R23C01,cell_23_1,13.800,0.600,-42.67,-25.00,-52.33,-38.00
R23C02,cell_23_2,13.800,1.200,-38.67,-22.00,-50.00,-39.00
R23C03,cell_23_3,13.800,1.800,-42.00,-28.00,-46.33,-38.00
R23C04,cell_23_4,13.800,2.400,-32.33,-24.67,-50.67,-33.00
R23C05,cell_23_5,13.800,3.000,-34.00,-23.00,-45.67,-35.33
R23C06,cell_23_6,13.800,3.600,-32.00,-22.33,-48.33,-32.67
R23C07,cell_23_7,13.800,4.200,-30.67,-21.00,-45.33,-35.67
R23C08,cell_23_8,13.800,4.800,-36.00,-23.67,-47.67,-40.67
R23C09,cell_23_9,13.800,5.400,-30.33,-34.00,-48.00,-35.00
R23C10,cell_23_10,13.800,6.000,-27.00,-24.33,-49.33,-31.67
R23C11,cell_23_11,13.800,6.600,-22.00,-22.00,-44.67,-34.00
R23C12,cell_23_12,13.800,7.200,-14.33,-22.00,-46.67,-35.00
