rank,k,region_k,missing_rssi,weight_power,use_region_filter,mean_error_m,median_error_m,p90_error_m,max_error_m,nearest_mean_error_m,samples
132,15,8,-95.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
133,15,10,-95.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
134,15,10,-95.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
135,15,15,-95.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
136,15,15,-95.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
137,15,20,-95.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
138,15,20,-95.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
139,15,30,-95.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
140,15,30,-95.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
141,15,3,-90.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
142,15,3,-90.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
143,15,5,-90.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
144,15,5,-90.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
145,15,8,-90.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
146,15,8,-90.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
147,15,10,-90.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
148,15,10,-90.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
149,15,15,-90.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
150,15,15,-90.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
151,15,20,-90.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
152,15,20,-90.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
153,15,30,-90.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
154,15,30,-90.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
155,15,3,-85.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
156,15,3,-85.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
157,15,5,-85.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
158,15,5,-85.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
159,15,8,-85.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
160,15,8,-85.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
161,15,10,-85.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
162,15,10,-85.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
163,15,15,-85.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
164,15,15,-85.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
165,15,20,-85.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
166,15,20,-85.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
167,15,30,-85.0,2.0,False,2.4275,1.9037,4.7722,11.5161,3.2097,312
168,15,30,-85.0,2.0,True,2.4275,1.9037,4.7722,11.5161,3.2097,312
169,12,3,-110.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
170,12,3,-110.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
171,12,5,-110.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
172,12,5,-110.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
173,12,8,-110.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
174,12,8,-110.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
175,12,10,-110.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
176,12,10,-110.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
177,12,15,-110.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
178,12,15,-110.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
179,12,20,-110.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
180,12,20,-110.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
181,12,30,-110.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
182,12,30,-110.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
183,12,3,-105.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
184,12,3,-105.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
185,12,5,-105.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
186,12,5,-105.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
187,12,8,-105.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
188,12,8,-105.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
189,12,10,-105.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
190,12,10,-105.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
191,12,15,-105.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
192,12,15,-105.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
193,12,20,-105.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
194,12,20,-105.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
195,12,30,-105.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
196,12,30,-105.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
197,12,3,-100.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
198,12,3,-100.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
199,12,5,-100.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
200,12,5,-100.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
201,12,8,-100.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
202,12,8,-100.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
203,12,10,-100.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
204,12,10,-100.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
205,12,15,-100.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
206,12,15,-100.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
207,12,20,-100.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
208,12,20,-100.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
209,12,30,-100.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
210,12,30,-100.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
211,12,3,-95.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
212,12,3,-95.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
213,12,5,-95.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
214,12,5,-95.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
215,12,8,-95.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
216,12,8,-95.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
217,12,10,-95.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
218,12,10,-95.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
219,12,15,-95.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
220,12,15,-95.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
221,12,20,-95.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
222,12,20,-95.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
223,12,30,-95.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
224,12,30,-95.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
225,12,3,-90.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
226,12,3,-90.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
227,12,5,-90.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
228,12,5,-90.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
229,12,8,-90.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
230,12,8,-90.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
231,12,10,-90.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
232,12,10,-90.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
233,12,15,-90.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
234,12,15,-90.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
235,12,20,-90.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
236,12,20,-90.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
237,12,30,-90.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
238,12,30,-90.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
239,12,3,-85.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
240,12,3,-85.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
241,12,5,-85.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
242,12,5,-85.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
243,12,8,-85.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
244,12,8,-85.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
245,12,10,-85.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
246,12,10,-85.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
247,12,15,-85.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
248,12,15,-85.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
249,12,20,-85.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
250,12,20,-85.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
251,12,30,-85.0,1.5,False,2.4333,1.9830,5.0002,11.3039,3.2097,312
252,12,30,-85.0,1.5,True,2.4333,1.9830,5.0002,11.3039,3.2097,312
253,15,3,-110.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
254,15,3,-110.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
255,15,5,-110.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
256,15,5,-110.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
257,15,8,-110.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
258,15,8,-110.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
259,15,10,-110.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
260,15,10,-110.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
261,15,15,-110.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
262,15,15,-110.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
263,15,20,-110.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
264,15,20,-110.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
265,15,30,-110.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
266,15,30,-110.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
267,15,3,-105.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
268,15,3,-105.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
269,15,5,-105.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
270,15,5,-105.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
271,15,8,-105.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
272,15,8,-105.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
273,15,10,-105.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
274,15,10,-105.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
275,15,15,-105.0,2.5,False,2.4347,1.9628,4.7601,11.5482,3.2097,312
276,15,15,-105.0,2.5,True,2.4347,1.9628,4.7601,11.5482,3.2097,312
